"DirectoryName","Name","Extension","Size(KB)"
"C:\Webs\soportecyclops-web",".gitignore",".gitignore","0,22"
"C:\Webs\soportecyclops-web","admin-blog.html",".html","59,57"
"C:\Webs\soportecyclops-web","admin-portal.html",".html","17,29"
"C:\Webs\soportecyclops-web","admin.html",".html","148,77"
"C:\Webs\soportecyclops-web","agenda.js",".js","16,64"
"C:\Webs\soportecyclops-web","chatbot.js",".js","148,21"
"C:\Webs\soportecyclops-web","cliente.html",".html","91,09"
"C:\Webs\soportecyclops-web","cliente_panel.html",".html","28,54"
"C:\Webs\soportecyclops-web","Code.gs",".gs","55,13"
"C:\Webs\soportecyclops-web","diagnostico_archivos.csv",".csv","0"
"C:\Webs\soportecyclops-web","documentos-apps-script.gs",".gs","3,79"
"C:\Webs\soportecyclops-web","faq.html",".html","14,9"
"C:\Webs\soportecyclops-web","googlebd53b05077bd0f90.html",".html","0,05"
"C:\Webs\soportecyclops-web","index.html",".html","56,12"
"C:\Webs\soportecyclops-web","instalar_seccion_proyectos.ps1",".ps1","1,12"
"C:\Webs\soportecyclops-web","login.html",".html","14,04"
"C:\Webs\soportecyclops-web","main.js",".js","10,25"
"C:\Webs\soportecyclops-web","nosotros.html",".html","15,83"
"C:\Webs\soportecyclops-web","opiniones.html",".html","21,93"
"C:\Webs\soportecyclops-web","presencia-web-para-pymes.html",".html","53,28"
"C:\Webs\soportecyclops-web","proyectos.html",".html","11,48"
"C:\Webs\soportecyclops-web","robots.txt",".txt","0,08"
"C:\Webs\soportecyclops-web","servicios.html",".html","43,98"
"C:\Webs\soportecyclops-web","sitemap.xml",".xml","18,9"
"C:\Webs\soportecyclops-web","soporte.html",".html","27,64"
"C:\Webs\soportecyclops-web","soportecyclops-web.rar",".rar","5523,3"
"C:\Webs\soportecyclops-web","vercel - copia.json",".json","30,39"
"C:\Webs\soportecyclops-web","vercel.json",".json","0,11"
"C:\Webs\soportecyclops-web\blog","abono-mantenimiento-pyme.html",".html","29,59"
"C:\Webs\soportecyclops-web\blog","actualizaciones-windows.html",".html","29,61"
"C:\Webs\soportecyclops-web\blog","ampliar-memoria-ram.html",".html","29,04"
"C:\Webs\soportecyclops-web\blog","antes-de-instalar-camaras.html",".html","29,66"
"C:\Webs\soportecyclops-web\blog","antes-de-llamar-al-tecnico.html",".html","29,41"
"C:\Webs\soportecyclops-web\blog","antivirus-pago-o-gratis.html",".html","29,31"
"C:\Webs\soportecyclops-web\blog","atajos-teclado-utiles.html",".html","29,24"
"C:\Webs\soportecyclops-web\blog","backup-pymes.html",".html","29,59"
"C:\Webs\soportecyclops-web\blog","borrar-datos-antes-de-vender.html",".html","29,48"
"C:\Webs\soportecyclops-web\blog","cableado-estructurado.html",".html","29,62"
"C:\Webs\soportecyclops-web\blog","camara-graba-mal-de-noche.html",".html","29,37"
"C:\Webs\soportecyclops-web\blog","camaras-acceso-remoto-seguro.html",".html","29,55"
"C:\Webs\soportecyclops-web\blog","camaras-privacidad.html",".html","29,33"
"C:\Webs\soportecyclops-web\blog","camaras-seguridad-guia.html",".html","31,88"
"C:\Webs\soportecyclops-web\blog","cambiar-proveedor-internet.html",".html","29,51"
"C:\Webs\soportecyclops-web\blog","celular-lento.html",".html","29,14"
"C:\Webs\soportecyclops-web\blog","como-elegir-alarma.html",".html","29,76"
"C:\Webs\soportecyclops-web\blog","como-elegir-impresora.html",".html","29,61"
"C:\Webs\soportecyclops-web\blog","como-elegir-notebook.html",".html","29,46"
"C:\Webs\soportecyclops-web\blog","como-elegir-router.html",".html","29,62"
"C:\Webs\soportecyclops-web\blog","comprar-tecnologia-usada.html",".html","29,57"
"C:\Webs\soportecyclops-web\blog","compras-online-seguras.html",".html","30,02"
"C:\Webs\soportecyclops-web\blog","computadora-para-estudiar.html",".html","29,49"
"C:\Webs\soportecyclops-web\blog","conexion-zonas-sin-fibra.html",".html","29,43"
"C:\Webs\soportecyclops-web\blog","contrasenas-seguras-gestor.html",".html","29,77"
"C:\Webs\soportecyclops-web\blog","control-de-acceso.html",".html","29,47"
"C:\Webs\soportecyclops-web\blog","control-parental.html",".html","29,62"
"C:\Webs\soportecyclops-web\blog","correo-con-dominio-propio.html",".html","29,62"
"C:\Webs\soportecyclops-web\blog","cuantas-camaras-necesito.html",".html","29,35"
"C:\Webs\soportecyclops-web\blog","diagnostico-guiado.html",".html","29,53"
"C:\Webs\soportecyclops-web\blog","doble-monitor.html",".html","29,22"
"C:\Webs\soportecyclops-web\blog","domotica-por-donde-empezar.html",".html","29,7"
"C:\Webs\soportecyclops-web\blog","elegir-nas-hogar.html",".html","29,39"
"C:\Webs\soportecyclops-web\blog","elegir-pc-escritorio.html",".html","29,78"
"C:\Webs\soportecyclops-web\blog","estafas-whatsapp-mail.html",".html","30,48"
"C:\Webs\soportecyclops-web\blog","fotos-celular-respaldo.html",".html","29,51"
"C:\Webs\soportecyclops-web\blog","gestion-usuarios-empresa.html",".html","29,72"
"C:\Webs\soportecyclops-web\blog","impresora-no-imprime.html",".html","29,65"
"C:\Webs\soportecyclops-web\blog","index.html",".html","64,61"
"C:\Webs\soportecyclops-web\blog","instalacion-electrica-equipos.html",".html","29,74"
"C:\Webs\soportecyclops-web\blog","internet-se-corta.html",".html","29"
"C:\Webs\soportecyclops-web\blog","mails-que-no-llegan.html",".html","29,27"
"C:\Webs\soportecyclops-web\blog","mantenimiento-notebook.html",".html","29,33"
"C:\Webs\soportecyclops-web\blog","mantenimiento-preventivo-pc.html",".html","31,48"
"C:\Webs\soportecyclops-web\blog","mantenimiento-servidor.html",".html","29,5"
"C:\Webs\soportecyclops-web\blog","me-hackearon-el-correo.html",".html","29,76"
"C:\Webs\soportecyclops-web\blog","migrar-a-pc-nueva.html",".html","29,74"
"C:\Webs\soportecyclops-web\blog","monitor-puesto-trabajo.html",".html","29,27"
"C:\Webs\soportecyclops-web\blog","mudanza-oficina-checklist.html",".html","29,46"
"C:\Webs\soportecyclops-web\blog","nombres-archivos-carpetas.html",".html","29,69"
"C:\Webs\soportecyclops-web\blog","notebook-mojada-que-hacer.html",".html","29,17"
"C:\Webs\soportecyclops-web\blog","notebook-no-carga.html",".html","29,56"
"C:\Webs\soportecyclops-web\blog","nube-vs-nas-vs-servidor.html",".html","29,79"
"C:\Webs\soportecyclops-web\blog","oficina-sin-papel.html",".html","29,34"
"C:\Webs\soportecyclops-web\blog","pantalla-azul-errores.html",".html","29,34"
"C:\Webs\soportecyclops-web\blog","pc-lenta-causas.html",".html","29,45"
"C:\Webs\soportecyclops-web\blog","primeros-pasos-pc-nueva.html",".html","28,96"
"C:\Webs\soportecyclops-web\blog","programas-imprescindibles.html",".html","29,32"
"C:\Webs\soportecyclops-web\blog","punto-de-venta-comercio.html",".html","29,55"
"C:\Webs\soportecyclops-web\blog","que-es-una-vpn.html",".html","29,59"
"C:\Webs\soportecyclops-web\blog","que-hacer-corte-de-luz.html",".html","29,6"
"C:\Webs\soportecyclops-web\blog","ransomware-que-hacer.html",".html","31,81"
"C:\Webs\soportecyclops-web\blog","reciclar-pc-vieja.html",".html","29,21"
"C:\Webs\soportecyclops-web\blog","recuperar-archivos-borrados.html",".html","29,69"
"C:\Webs\soportecyclops-web\blog","recuperar-cuenta-google.html",".html","29,57"
"C:\Webs\soportecyclops-web\blog","red-oficina-pyme.html",".html","29,87"
"C:\Webs\soportecyclops-web\blog","redes-sociales-empresa.html",".html","29,63"
"C:\Webs\soportecyclops-web\blog","reparar-o-cambiar-equipo.html",".html","29,64"
"C:\Webs\soportecyclops-web\blog","senales-disco-por-fallar.html",".html","31,49"
"C:\Webs\soportecyclops-web\blog","sobrecalentamiento-limpieza.html",".html","29,43"
"C:\Webs\soportecyclops-web\blog","sonido-no-funciona.html",".html","29,67"
"C:\Webs\soportecyclops-web\blog","ssd-vs-hdd-cuando-conviene.html",".html","29,03"
"C:\Webs\soportecyclops-web\blog","teclado-mouse-perifericos.html",".html","29,51"
"C:\Webs\soportecyclops-web\blog","tecnologia-adultos-mayores.html",".html","29,69"
"C:\Webs\soportecyclops-web\blog","teletrabajo-seguro-pymes.html",".html","29,86"
"C:\Webs\soportecyclops-web\blog","tu-pc-con-windows-10-ya-no-recibe-actualizaciones-que-hacer-ahora.html",".html","29,52"
"C:\Webs\soportecyclops-web\blog","ups-proteccion-energia.html",".html","31,49"
"C:\Webs\soportecyclops-web\blog","videollamadas-se-cortan.html",".html","29,21"
"C:\Webs\soportecyclops-web\blog","videoportero-como-elegir.html",".html","29,2"
"C:\Webs\soportecyclops-web\blog","wifi-invitados-seguridad.html",".html","29,2"
"C:\Webs\soportecyclops-web\blog","wifi-lento-ciertas-horas.html",".html","29,61"
"C:\Webs\soportecyclops-web\blog","wifi-no-llega.html",".html","31,34"
"C:\Webs\soportecyclops-web\blog","windows-10-sin-soporte.html",".html","29,22"
"C:\Webs\soportecyclops-web\blog","windows-no-arranca.html",".html","29,56"
"C:\Webs\soportecyclops-web\css","main.css",".css","50,83"
"C:\Webs\soportecyclops-web\css","proyectos.css",".css","0,78"
"C:\Webs\soportecyclops-web\data","blog-articles.json",".json","391,36"
"C:\Webs\soportecyclops-web\data","news.json",".json","0,94"
"C:\Webs\soportecyclops-web\data","services.json",".json","2,7"
"C:\Webs\soportecyclops-web\forms","google-sheets.js",".js","2,9"
"C:\Webs\soportecyclops-web\herramientas","almacenamiento-camaras.html",".html","10,87"
"C:\Webs\soportecyclops-web\herramientas","base.css",".css","5,85"
"C:\Webs\soportecyclops-web\herramientas","chequeo-seguridad.html",".html","14,8"
"C:\Webs\soportecyclops-web\herramientas","index.html",".html","8,06"
"C:\Webs\soportecyclops-web\herramientas","reparar-o-comprar.html",".html","12,91"
"C:\Webs\soportecyclops-web\public\images","foto-about.jpg",".jpg","41,83"
"C:\Webs\soportecyclops-web\public\images","foto-hero-bg.jpg",".jpg","79,27"
"C:\Webs\soportecyclops-web\public\images","foto-tecnico-camara.jpg",".jpg","147,62"
"C:\Webs\soportecyclops-web\public\images","foto-tecnico-cctv.jpg",".jpg","78,66"
"C:\Webs\soportecyclops-web\public\images","foto-tecnico-desk.jpg",".jpg","124,69"
"C:\Webs\soportecyclops-web\public\images","foto-tecnico-rack.jpg",".jpg","203,46"
"C:\Webs\soportecyclops-web\public\images","logo-autodromo.png",".png","4,56"
"C:\Webs\soportecyclops-web\public\images","logo-cordial.png",".png","14,04"
"C:\Webs\soportecyclops-web\public\images","logo-icon.png",".png","8,42"
"C:\Webs\soportecyclops-web\public\images","logo-loreal.png",".png","7,03"
"C:\Webs\soportecyclops-web\public\images","logo-megatech.png",".png","3,19"
"C:\Webs\soportecyclops-web\public\images","logo-nacional.png",".png","6,96"
"C:\Webs\soportecyclops-web\public\images","logo-nav.png",".png","48,28"
"C:\Webs\soportecyclops-web\public\images","og-preview.jpg",".jpg","63,33"
